Wed Sep 9 11:06:51 PDT 2015, dense_16777216_x_1, 16777216, 1, 16777216, 8388607.50, 4843165.09, -nan, 1.00000, 0.00000, 0.00000, -nan, MKL SpMV, 8.32300, 4.031530, 64.504, CPU CSR I/O Proxy, 10.72734, 3.127936, 50.047, Merge SpMV, 8.80382, 3.811348, 60.982, Merge SpMV NUMA, Numa setup ms, 14.90998, 9.19336, 3.649856, 58.398, POSKI Tuned SpMV, poski tune ms, 437.15405, 17.11015, 1.961084, 31.377,
Wed Sep 9 11:07:51 PDT 2015, dense_8388608_x_2, 8388608, 2, 16777216, 4194303.00, 2421582.54, 0.000000, 2.00000, 0.00000, 0.00000, -nan, MKL SpMV, 9.08822, 3.692078, 47.997, CPU CSR I/O Proxy, 8.81351, 3.807158, 49.493, Merge SpMV, 9.24991, 3.627542, 47.158, Merge SpMV NUMA, Numa setup ms, 19.05489, 6.49394, 5.167035, 67.171, POSKI Tuned SpMV, poski tune ms, 299.25989, 11.11447, 3.018985, 39.247,
Wed Sep 9 11:08:40 PDT 2015, dense_4194304_x_4, 4194304, 4, 16777216, 2097150.00, 1210791.27, 0.000000, 4.00000, 0.00000, 0.00000, -nan, MKL SpMV, 6.91275, 4.853991, 55.821, CPU CSR I/O Proxy, 7.00664, 4.788945, 55.073, Merge SpMV, 7.04376, 4.763709, 54.783, Merge SpMV NUMA, Numa setup ms, 17.93909, 4.37798, 7.664364, 88.140, POSKI Tuned SpMV, poski tune ms, 203.48502, 6.04413, 5.551569, 63.843,
Wed Sep 9 11:09:16 PDT 2015, dense_2097152_x_8, 2097152, 8, 16777216, 1048572.00, 605395.64, -0.000000, 8.00000, 0.00000, 0.00000, -nan, MKL SpMV, 5.84291, 5.742761, 61.735, CPU CSR I/O Proxy, 5.97668, 5.614230, 60.353, Merge SpMV, 5.97050, 5.620036, 60.415, Merge SpMV NUMA, Numa setup ms, 16.93892, 3.30790, 10.143722, 109.045, POSKI Tuned SpMV, poski tune ms, 175.02403, 3.58145, 9.368954, 100.716,
Wed Sep 9 11:09:44 PDT 2015, dense_1048576_x_16, 1048576, 16, 16777216, 524280.00, 302697.82, 0.000000, 16.00000, 0.00000, 0.00000, -nan, MKL SpMV, 5.29458, 6.337510, 65.752, CPU CSR I/O Proxy, 5.38782, 6.227831, 64.614, Merge SpMV, 5.39450, 6.220121, 64.534, Merge SpMV NUMA, Numa setup ms, 18.73398, 2.75789, 12.166690, 126.229, POSKI Tuned SpMV, poski tune ms, 143.60715, 3.29450, 10.184973, 105.669,
Wed Sep 9 11:10:10 PDT 2015, dense_524288_x_32, 524288, 32, 16777216, 262128.00, 151348.91, -0.000000, 32.00000, 0.00000, 0.00000, -nan, MKL SpMV, 4.80637, 6.981243, 71.121, CPU CSR I/O Proxy, 4.92240, 6.816687, 69.445, Merge SpMV, 4.91221, 6.830821, 69.589, Merge SpMV NUMA, Numa setup ms, 15.85293, 2.45867, 13.647381, 139.033, POSKI Tuned SpMV, poski tune ms, 159.23906, 3.14920, 10.654903, 108.547,
Wed Sep 9 11:10:34 PDT 2015, dense_262144_x_64, 262144, 64, 16777216, 131040.01, 75674.45, 0.000000, 64.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.13283, 10.710575, 108.110, CPU CSR I/O Proxy, 3.24475, 10.341158, 104.381, Merge SpMV, 3.22265, 10.412058, 105.097, Merge SpMV NUMA, Numa setup ms, 15.90490, 2.34563, 14.305101, 144.392, POSKI Tuned SpMV, poski tune ms, 146.38901, 3.24049, 10.354740, 104.518,
Wed Sep 9 11:10:52 PDT 2015, dense_131072_x_128, 131072, 128, 16777216, 65472.04, 37837.17, 0.000000, 128.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.18193, 10.545313, 105.947, CPU CSR I/O Proxy, 3.25308, 10.314650, 103.630, Merge SpMV, 3.25412, 10.311368, 103.597, Merge SpMV NUMA, Numa setup ms, 13.24487, 2.25245, 14.896873, 149.667, POSKI Tuned SpMV, poski tune ms, 159.23000, 3.20839, 10.458328, 105.074,
Wed Sep 9 11:11:11 PDT 2015, dense_65536_x_256, 65536, 256, 16777216, 32640.33, 18918.18, 0.000000, 256.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.15117, 10.648242, 106.732, CPU CSR I/O Proxy, 3.25060, 10.322530, 103.467, Merge SpMV, 3.25152, 10.319613, 103.438, Merge SpMV NUMA, Numa setup ms, 14.10818, 2.21403, 15.155335, 151.909, POSKI Tuned SpMV, poski tune ms, 466.03299, 3.37868, 9.931220, 99.545,
Wed Sep 9 11:11:30 PDT 2015, dense_32768_x_512, 32768, 512, 16777216, 16130.67, 9455.91, 0.000000, 512.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.15549, 10.633677, 106.461, CPU CSR I/O Proxy, 3.23045, 10.386922, 103.991, Merge SpMV, 3.23466, 10.373396, 103.856, Merge SpMV NUMA, Numa setup ms, 15.82217, 2.20562, 15.213124, 152.310, POSKI Tuned SpMV, poski tune ms, 179.31700, 3.12027, 10.753690, 107.663,
Wed Sep 9 11:11:49 PDT 2015, dense_16384_x_1024, 16384, 1024, 16777216, 7701.33, 4704.13, -0.000000, 1024.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.14587, 10.666197, 106.724, CPU CSR I/O Proxy, 3.21358, 10.441465, 104.476, Merge SpMV, 3.21650, 10.431970, 104.381, Merge SpMV NUMA, Numa setup ms, 14.15300, 2.20907, 15.189383, 151.983, POSKI Tuned SpMV, poski tune ms, 127.80404, 2.95996, 11.336126, 113.428,
Wed Sep 9 11:12:07 PDT 2015, dense_8192_x_2048, 8192, 2048, 16777216, 3242.67, 2205.50, -0.000000, 2048.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.14045, 10.684589, 106.877, CPU CSR I/O Proxy, 3.25635, 10.304313, 103.073, Merge SpMV, 3.24204, 10.349787, 103.528, Merge SpMV NUMA, Numa setup ms, 15.97881, 2.21017, 15.181833, 151.863, POSKI Tuned SpMV, poski tune ms, 112.04004, 2.97867, 11.264923, 112.682,
Wed Sep 9 11:12:25 PDT 2015, dense_4096_x_4096, 4096, 4096, 16777216, 1365.33, 965.44, -0.000000, 4096.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.13168, 10.714512, 107.161, CPU CSR I/O Proxy, 3.22888, 10.391985, 103.935, Merge SpMV, 3.23986, 10.356749, 103.583, Merge SpMV NUMA, Numa setup ms, 15.83505, 2.21893, 15.121925, 151.241, POSKI Tuned SpMV, poski tune ms, 93.17207, 3.06286, 10.955261, 109.569,
Wed Sep 9 11:12:43 PDT 2015, dense_2048_x_8192, 2048, 8192, 16777216, 3242.67, 2205.50, 0.000000, 8192.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.12898, 10.723772, 107.246, CPU CSR I/O Proxy, 3.22987, 10.388786, 103.895, Merge SpMV, 3.23656, 10.367312, 103.681, Merge SpMV NUMA, Numa setup ms, 15.10501, 2.20024, 15.250323, 152.514, POSKI Tuned SpMV, poski tune ms, 130.82314, 2.87061, 11.688946, 116.898,
Wed Sep 9 11:13:02 PDT 2015, dense_1024_x_16384, 1024, 16384, 16777216, 7701.33, 4704.13, -0.000000, 16384.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.13078, 10.717597, 107.180, CPU CSR I/O Proxy, 3.24754, 10.332248, 103.326, Merge SpMV, 3.25948, 10.294427, 102.948, Merge SpMV NUMA, Numa setup ms, 15.52105, 2.20262, 15.233851, 152.344, POSKI Tuned SpMV, poski tune ms, 129.05193, 3.09766, 10.832183, 108.326,
Wed Sep 9 11:13:20 PDT 2015, dense_512_x_32768, 512, 32768, 16777216, 16130.67, 9455.91, 0.000000, 32768.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.06804, 10.936779, 109.370, CPU CSR I/O Proxy, 3.22439, 10.406433, 104.066, Merge SpMV, 3.22598, 10.401313, 104.015, Merge SpMV NUMA, Numa setup ms, 16.14594, 2.20238, 15.235535, 152.358, POSKI Tuned SpMV, poski tune ms, 126.69301, 3.08908, 10.862284, 108.625,
